ID,Sample_type,Lat.ddeg,Lon.ddeg,Site_name,Zone,Cruise_deployed,Date_depolyed.UTC,Dive_deployed,Exp_start_temp.C,Pursed,Cruise_purse_removal,Date_purse_removal,Dive_purse_removal,Cruise_recovered,Date_recovered,Dive_recovered,Recovery_temp.C,Nearby,Biofilm_dev_time.d,Larval_set_time.d,ID.pairs,AMP1,ISO1,BIV1,COP1,COP2,COP3,COP4,FOR1,GAS1,GAS2,GAS3,GAS4,GAS5,GASU,GAV1,GAV2,GAV3,GAVU,GAS6,GAS7,GAS8,GAS9,GAS10,MIT1,MUS1,CNP1,NEC1,POL17,NEC2,NEC3,POL18,NEC4,POL19,NEC5,NEC6,NEC7,NEC8,POL21,POL22,POL27,NEM1,NECU,OPH1,OST1,POL1,POL2,POL3,POL4,POL5,POL6,POL7,POL8,POL9,POL11,POL12,POL15,POL16,POLU
PM,pursed sandwich,9.84005091,-104.291682,Tica,Riftia,AT42-21,12/29/2019 19:02,A5048,5.35,Y,RR2102,4/1/2021 22:00,J1305,RR2102,4/16/2021 14:45,J1320,2.95,,459,14.69778935,SP3,91,6,2,29,51,1,1,0,0,1,3,0,1,1,0,0,0,0,48,12,5,10,0,0,0,0,10,2,0,0,0,8,0,1,0,0,0,0,0,0,7,0,0,0,2,1,56,2,1,1,0,0,2,1,0,10,3,2
PO,pursed sandwich,9.84004024,-104.2916494,Tica,Mussel,AT42-21,12/29/2019 18:26,A5048,2.46,Y,RR2102,4/1/2021 20:08,J1305,RR2102,4/16/2021 16:27,J1320,2.12,,459,14.84635417,SP6,32,16,2,23,59,0,1,0,9,0,0,0,0,1,0,0,0,0,1,1,4,2,0,1,0,0,9,0,1,1,0,7,0,0,0,0,0,0,0,1,1,0,0,0,5,1,18,0,0,1,0,1,2,0,2,34,8,0
PP1,sandwich,9.8400561,-104.2916918,Tica,Riftia,RR2102,4/1/2021 23:07,J1305,6.57,N,NA,NA,NA,RR2102,4/16/2021 14:31,J1320,8.15,PX,NA,14.64143519,SP2,55,0,0,11,27,5,19,2,0,0,0,0,0,0,0,1,0,1,399,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0
PP10,sandwich,9.8400716,-104.2916531,Tica,Alvinellid,RR2102,4/1/2021 19:23,J1305,2.67,N,NA,NA,NA,RR2102,4/16/2021 17:45,J1320,2.66,PW,NA,14.93202546,SP1,173,0,1,9,39,0,0,1,0,0,0,1,0,1,0,0,0,0,111,20,3,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,20,0,0,0,1,0,0,0,0,4,0,0
PP11,sandwich,9.84004078,-104.291649,Tica,Mussel,RR2102,4/1/2021 20:12,J1305,2.22,N,NA,NA,NA,RR2102,4/16/2021 16:30,J1320,2.55,PO,NA,14.84569444,SP6,32,7,0,20,52,0,4,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0
PP12,sandwich,9.84005988,-104.2916493,Tica,Mussel,RR2102,4/1/2021 20:47,J1305,2.63,N,NA,NA,NA,RR2102,4/16/2021 16:48,J1320,2.5,PQ,NA,14.83395833,SP7,37,1,0,10,31,0,12,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
PP2,sandwich,9.84005326,-104.2916786,Tica,Riftia,RR2102,4/1/2021 22:02,J1305,2.88,N,NA,NA,NA,RR2102,4/16/2021 14:48,J1320,2.56,PM,NA,14.69880787,SP3,49,0,0,7,21,7,0,1,5,1,0,1,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
PP3,sandwich,9.84006979,-104.2916483,Tica,Mussel,RR2102,4/1/2021 21:19,J1305,3.06,N,NA,NA,NA,RR2102,4/16/2021 17:18,J1320,2.75,PS,NA,14.83274306,SP4,68,2,0,17,15,0,7,1,0,0,1,0,0,1,1,0,0,2,0,0,4,5,0,0,0,1,0,0,0,0,0,7,0,0,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,1,0
PP5,sandwich,9.84007776,-104.291622,Tica,Mussel,RR2102,4/1/2021 18:18,J1305,2.16,N,NA,NA,NA,RR2102,4/16/2021 18:27,J1320,1.99,PR,NA,15.00616898,SP5,9,2,0,9,28,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,6,0,0
PQ,pursed sandwich,9.84005997,-104.2916498,Tica,Mussel,AT42-21,12/29/2019 18:28,A5048,2.49,Y,RR2102,4/1/2021 20:46,J1305,RR2102,4/16/2021 16:51,J1320,2.89,,459,14.83659722,SP7,10,21,1,28,39,0,11,1,13,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,0,2,0,0,0,0,0,0,1,0
PR,pursed sandwich,9.84008577,-104.2916475,Tica,Mussel,AT42-21,12/29/2019 18:26,A5048,2.22,Y,RR2102,4/1/2021 18:12,J1305,RR2102,4/16/2021 18:46,J1320,2.35,,459,15.02357639,SP5,4,0,0,50,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,28,1,0
PS,pursed sandwich,9.84008445,-104.2916465,Tica,Mussel,AT42-21,12/29/2019 18:30,A5048,2.89,Y,RR2102,4/1/2021 21:16,J1305,RR2102,4/16/2021 17:34,J1320,3.17,,459,14.8452662,SP4,64,0,2,10,19,0,2,0,1,0,1,0,0,1,0,0,0,0,21,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,4,0,9,1,0,2,0,1,1,0,0,7,2,0
PW,pursed sandwich,9.84007938,-104.2916558,Tica,Alvinellid,AT42-21,12/29/2019 18:50,A5048,3.59,Y,RR2102,4/1/2021 19:20,J1305,RR2102,4/16/2021 18:04,J1320,5.56,,459,14.94724537,SP1,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0
PX,pursed sandwich,9.84006011,-104.2916938,Tica,Riftia,AT42-21,12/29/2019 19:08,A5048,13.78,Y,RR2102,4/1/2021 23:18,J1305,RR2102,4/16/2021 14:08,J1320,8.25,,459,14.61811343,SP2,72,0,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,595,1,13,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,5,0
